event_date,buy_date,topic,topic_display,instrument,post_count,avg_sentiment,sentiment_label,total_engagement,platform,headline_text,buy_price,presidency_era,in_office,return_1d_pct,value_1d,return_1w_pct,value_1w,return_1m_pct,value_1m
2010-06-28,2010-06-28,sp500,S&P 500,sp500,1,0.6249,positive,36,Twitter,"""Trading Shots with Donald Trump""--a great article in the Wall Street Journal  http://bit.ly/c9eZbq",1074.5699,Not President (Pre-2017),Not In Office,-3.1017,96898.3,-4.3282,95671.78,2.937,102937.0
2011-08-08,2011-08-08,sp500,S&P 500,sp500,1,0.3818,positive,500,Twitter,The S&P downgrade is a direct result of @BarackObama's increased reckless budget spending and Obama Care. He owns this.,1119.46,Not President (Pre-2017),Not In Office,4.7407,104740.68,7.5956,107595.63,7.0713,107071.27
2011-08-09,2011-08-09,sp500,S&P 500,sp500,2,-0.379,negative,272,Twitter,The S&P are losers. They did this for personal publicity in order to straighten out their terrible reputatio… (cont) http://deck.ly/~PgL6v,1172.53,Not President (Pre-2017),Not In Office,-4.4152,95584.76,1.7253,101725.33,1.1403,101140.27
2011-08-15,2011-08-15,sp500,S&P 500,sp500,1,0.0,neutral,185,Twitter,Reporters say it's the Trump Bump---I tell CNBC I am buying stocks--- and the market goes up.,1204.49,Not President (Pre-2017),Not In Office,-0.9739,99026.14,-6.6974,93302.55,-1.3126,98687.42
2011-09-15,2011-09-15,sp500,S&P 500,sp500,1,0.3382,positive,92,Twitter,Can you imagine if @BarackObama had passed Cap and Trade?! Energy costs would be double from already record highs.,1209.11,Not President (Pre-2017),Not In Office,0.5707,100570.67,-6.5792,93420.79,-0.6823,99317.68
2011-10-14,2011-10-14,sp500,S&P 500,sp500,1,-0.7635,negative,489,Twitter,If the Wall Street protesters are upset about the economy then they should really be protesting @BarackObama at the White House.,1224.58,Not President (Pre-2017),Not In Office,-1.937,98063.01,1.1163,101116.3,2.2212,102221.17
2011-10-18,2011-10-18,sp500,S&P 500,sp500,1,-0.0772,negative,193,Twitter,"If ObamaCare is not repealed then we can expect stagnant growth, long term unemployment and record high premiums.",1225.38,Not President (Pre-2017),Not In Office,-1.2649,98735.09,0.2995,100299.5,-0.7549,99245.13
2011-11-04,2011-11-04,sp500,S&P 500,sp500,1,0.0,neutral,98,Twitter,See what I have to say about the Occupy Wall Street protestors in today's #trumpvlog.... http://youtu.be/06wj5CDqjeE ,1253.23,Not President (Pre-2017),Not In Office,0.6296,100629.57,0.8474,100847.41,0.3072,100307.21
2011-11-08,2011-11-08,sp500,S&P 500,sp500,1,-0.5709,negative,227,Twitter,A record high 6.7% of Americans are living in extreme poverty. This is tragic. We can do better.,1275.92,Not President (Pre-2017),Not In Office,-3.6695,96330.49,-1.4194,98580.64,-3.258,96741.96
2011-12-20,2011-12-20,sp500,S&P 500,sp500,1,0.0,neutral,147,Twitter,"The average family has spent $4,155 this year filling up the car on $3.50/gallon average. Both record highs. (cont) http://tl.gd/er9mbq ",1241.3,Not President (Pre-2017),Not In Office,0.195,100194.96,1.9439,101943.94,5.897,105897.04
